|0000|006|1||E63F12C673C9EB8A8C9C41FE11EFE82FDD0EFB880|01012022|31012022|FM MODEL TRANSPORTES LTDA|05367368000106|SP|3523909||00|1|
|0001|0|
|0110|1|2|1||
|0111|0|0|0|0|0|
|0150|61Q0Y5NL8|DETERLIMP PRODUTOS AUTOMOTIVOS LTDA|1058|04236531000139||244866770111|3509502||RUA ITAPEVI|77||JD ITATINGA|
|0150|5W80TDNBI|SOBASE COM   MAT  CONSTRUCAO LTDA|1058|53162566000933||600085580115|3545209||R D  SALTO ITU  KM 1  SN|SN||CONTE|
|0150|5XE0UCOVY|FOCO IND. DE AUTO PECAS E COMERCIO EIRELI|1058|30701191000180||297021199110|3545209||RUA 24 DE FEVEREIRO|240||CENTRO|
|0150|6970W98YK|DISTRIBUIDORA PEDRA BRANCA DE SAO MANUEL - EIRELI - EPP|1058|22742486000176||649044967117|3550100||RUA ANSELMO LUIZ MORETTO|301||DISTRITO INDUSTRIAL|
|0150|6970WB15W|SETA VISTORIA COMERCIO DE PECAS EIRELI - EPP|1058|03171803000105||513039800110|3536505||AVENIDA SIDNEY CARDON DE OLIVEIRA|1021|CX. P: 52|CASCATA|
|0150|4|LAPONIA SUDESTE LTDA|1058|04422548000180||669471684118|3552205||ROD RAPOSO TAVARES|S/N|KM 104|PQ RESERVA FAZENDA I|
|0150|6400YCZC9|WLM PARTICIPACOES E COMERCIO DE MAQUINAS E VEICULOS S.A.|1058|33228024001042||156082667|1504208||ROD BR 155  KM 1|S/N||DIST INDUSTRIAL|
|0150|6400YF2E2|FITATECH TECNOLOGIA DE AMAR. E FIXACAO DE CARGAS LTDA|1058|08327067000147||149443617110|3550308||AV. FRANCISCO REBELO|880||VILA CALIFORNIA|
|0150|5EP0WIQCV|ZANOTTO TRUCK DIESEL|1058|10239052000179||255675283|4218707||RODOVIA BR101  DO KM 335000 AO KM 337998  LADO PAR|001||SAO JOAO (MARGEM ESQUERDA)|
|0150|66R0ZY9FI|POSTO ALDO ITAITUBA KM 30 COMERCIO DE COMBUSTIVEIS LTDA|1058|30079828000148||155984039|1503606||R SEM DENOMINACAO|01|KM 30|ITAITUBA|
|0150|6400YEE3L|TOP TIRES CENTRO COM. AUTOM. LTDA|1058|13536744000177||535260750110|3538709||AV. INDEPENDENCIA|1559||BAIRRO ALTO|
|0150|5FJ0MZO9T|VPERECK EIRELI|1058|08990607000410||495188274112|3534708||RUA PROF FRANCESCO DIAS NEGRAO|2734||VILA SANDANO|
|0150|5W80TB05N|CAPIVARA FREIOS, PECAS E SERV. LTDA|1058|00170293000155||253022108119|3510401||RUA BARAO DE MARAU|75||RIBEIRAO|
|0150|5FK0ND5AJ|SOBRE RODAS COMERCIO E EQUIPAMENTO LTDA|1058|28478667000113||081001266|3205101||RODOVIA BR 101|1|KM 10 A|AREINHA|
|0150|6970WBYSJ|JP DERIVADOS DE PETROLEO LTDA - POSTO TAMPINHA|1058|02998414000187||7412218690059|3137536||RODOVIA BR 040 KM111|SN||ZONA RURAL|
|0150|6970W8AD6|AUTO POSTO MANCOES LTDA|1058|16043929000138||282505377|5002704||ROD BR 163 KM 454|SN|ZONA RURAL|ZONA RURAL|
